# Synthetic 'field' TEM sounding - West Africa hard-rock regolith example
# Central-loop TEM, 40 x 40 m transmitter loop
# Columns: time_s, dbdt_Vm2 (positive), uncertainty_Vm2
time_s,dbdt_Vm2,uncertainty_Vm2
2.000000e-05,3.245781e-05,1.310538e-06
2.541630e-05,1.916816e-05,7.477424e-07
3.229943e-05,9.909898e-06,4.111469e-07
4.104660e-05,5.253386e-06,2.180702e-07
5.216264e-05,2.669491e-06,1.117436e-07
6.628908e-05,1.401717e-06,5.542317e-08
8.424117e-05,6.964532e-07,2.666505e-08
1.070550e-04,3.154103e-07,1.247488e-08
1.360471e-04,1.343074e-07,5.690494e-09
1.728907e-04,6.370259e-08,2.538428e-09
2.197121e-04,2.883388e-08,1.110887e-09
2.792135e-04,1.233326e-08,4.786610e-10
3.548287e-04,5.032968e-09,2.040606e-10
4.509218e-04,2.034014e-09,8.695574e-11
5.730382e-04,8.749633e-10,3.822956e-11
7.282257e-04,3.803128e-10,1.902068e-11
9.254403e-04,1.662415e-10,1.213458e-11
1.176064e-03,4.770943e-11,9.587600e-12
1.494559e-03,3.630794e-11,8.254553e-12
1.899309e-03,1.366673e-11,7.271432e-12
2.413671e-03,-4.075189e-12,6.439885e-12
3.067329e-03,2.384760e-12,5.710479e-12
3.898009e-03,-2.944144e-12,5.065144e-12
4.953649e-03,4.950041e-12,4.493046e-12
6.295172e-03,-1.841414e-12,3.985631e-12
8.000000e-03,1.202232e-12,3.535536e-12
