# Synthetic 'field' VES sounding - West Africa hard-rock regolith example
# Schlumberger array, same site/true model as the TEM sounding
# Columns: ab2_m, rhoa_ohmm, uncertainty_ohmm
ab2_m,rhoa_ohmm,uncertainty_ohmm
1.500000e+00,7.825618e+02,3.986415e+01
1.912353e+00,8.669005e+02,3.972951e+01
2.438064e+00,8.058837e+02,3.947938e+01
3.108293e+00,8.311443e+02,3.898195e+01
3.962770e+00,7.485787e+02,3.800700e+01
5.052145e+00,7.215636e+02,3.622798e+01
6.440991e+00,6.474691e+02,3.324647e+01
8.211634e+00,5.646151e+02,2.872208e+01
1.046903e+01,4.908649e+02,2.271082e+01
1.334699e+01,3.268107e+02,1.600719e+01
1.701611e+01,2.172401e+02,9.978524e+00
2.169388e+01,1.221346e+02,5.777422e+00
2.765757e+01,6.912871e+01,3.644828e+00
3.526070e+01,6.138240e+01,3.019532e+00
4.495395e+01,6.614396e+01,3.202173e+00
5.731190e+01,7.933893e+01,3.801264e+00
7.306707e+01,9.477920e+01,4.709603e+00
9.315337e+01,1.217987e+02,5.925667e+00
1.187614e+02,1.475253e+02,7.474447e+00
1.514092e+02,1.927123e+02,9.408289e+00
1.930320e+02,2.373754e+02,1.180698e+01
2.460969e+02,2.949906e+02,1.476536e+01
3.137495e+02,3.488257e+02,1.838455e+01
4.000000e+02,4.459648e+02,2.276804e+01
